id,icao,iata,name,city,state,country,elevation,lat,lon,tz,createdAt,updatedAt
6516,CKQ7,,Vermilion Bay Airport,Vermilion Bay,Ontario,CA,1284,49.87969971,-93.43640137,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6517,CKQ8,,McArthur River Airport,Mcarthur River,Saskatchewan,CA,1718,57.76750183,-105.0240021,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6518,CKQ9,,Pine Dock Airport,Pine Dock,Manitoba,CA,750,51.61999893,-96.81079865,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6519,CKR3,,Ste. Rose Du Lac Airport,Ste. Rose Du Lac,Manitoba,CA,900,51.04079819,-99.49530029,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6520,CKR4,,Lundar Airport,Lundar,Manitoba,CA,830,50.70330048,-98.05670166,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6521,CKR7,,Virden (Gabrielle Farm) Airport,Virden,Manitoba,CA,1440,49.78469849,-100.9560013,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6522,CKR9,,Outlook Airport,Outlook,Saskatchewan,CA,1771,51.48249817,-107.0370026,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6523,CKS3,,Cudworth Airport,Cudworth,Saskatchewan,CA,1875,52.48809814,-105.7639999,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6524,CKS6,,Bryant Airport,Estevan,Saskatchewan,CA,1970,49.40999985,-103.1439972,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6525,CKS7,,Wadena Airport,Wadena,Saskatchewan,CA,1740,51.92944808,-103.8337612,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6526,CKS8,,Cree Lake (Crystal Lodge) Airport,Cree Lake,Saskatchewan,CA,1615,57.46419907,-106.7480011,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6527,CKS9,,Shepherd's Landing Airport,Kincardine,Ontario,CA,675,44.11750031,-81.69830322,America/Toronto,2020-08-18 12:04:00,2020-08-18 12:04:00
6528,CKT5,,Hartney Airport,Hartney,Manitoba,CA,1450,49.45000076,-100.5500031,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
